code,config,d_param_max,d_param_rel_max,d_param_span_max,d_crit_calib,d_nse_cal,d_kge_cal,d_nse_val,d_kge_val,nse_cal_R,nse_val_R,kge_cal_R,kge_val_R,n_runs_R,n_runs_HS,n_iter_R,n_iter_HS
A673122001,GR4J_NSE,4.0635472142607585e-16,4.0635472142607585e-16,9.774838376294785e-19,7.141774069166143e-16,7.141774069166143e-16,4.056820515224946e-15,1.3419208486656415e-15,5.250893560463216e-16,0.777273975536714,0.827338680764311,0.84837161600361,0.845740262559972,224,225,20,20
A673122001,GR4J_KGE,4.861113972282501e-16,4.861113972282501e-16,2.606623567011943e-18,2.7597543728881877e-15,1.443837260316252e-15,2.7597543728881877e-15,5.320250795403617e-16,1.7097830928906691e-15,0.76893917004329,0.834714803733932,0.885039146298801,0.909069835196112,449,449,45,45
A673122001,GR5J_NSE,1.0409811091490305e-15,1.0409811091490305e-15,1.0426494268047772e-17,0.0,0.0,0.0,8.197169048895976e-16,2.689644522623039e-15,0.793368479741338,0.812638864468473,0.856206757822431,0.825553723019447,1272,1273,99,99
A673122001,GR6J_NSE,1.4651077501778644e-16,1.4651077501778644e-16,1.6291397293824643e-19,6.820558920491251e-16,6.820558920491251e-16,1.677316260965104e-15,1.3463534266604509e-15,3.897575295797706e-15,0.813879798977818,0.824614846770954,0.860475728758663,0.826064033935231,1696,1696,79,79
A673122001,CemaNeigeGR4J_NSE,8.6655392178481775e-16,8.6655392178481775e-16,2.28079562113545e-18,2.851537689989353e-16,2.851537689989353e-16,3.9347743621329346e-15,9.341519415558245e-16,2.5983502631594617e-15,0.778683745631503,0.831937592446964,0.846470157457772,0.854559941641726,967,970,25,25
A843101001,GR4J_NSE,5.746923582302576e-16,5.746923582302576e-16,9.774838376294785e-19,4.819027092875603e-16,4.819027092875603e-16,1.0798340875384847e-15,3.929881533597189e-16,1.2738218755800566e-15,0.921532917933994,0.847524039949053,0.925328005194159,0.784411652302358,224,224,20,20
A843101001,GR4J_KGE,5.898012588697489e-16,5.898012588697489e-16,1.3033117835059715e-18,8.146910791493313e-16,4.8856485846546705e-16,8.146910791493313e-16,3.906156741121139e-16,2.352150824363682e-15,0.908966746492783,0.852671639827619,0.953927368456134,0.849605996191125,372,372,37,37
A843101001,GR5J_NSE,8.103963896781428e-16,8.103963896781428e-16,1.0426494268047772e-17,0.0,0.0,5.3595823295996395e-15,5.230423234356792e-16,5.880990276532668e-15,0.921545687549099,0.849050239248324,0.932162863367453,0.774004748677611,891,891,66,66
A843101001,GR6J_NSE,3.52769706485469e-16,3.52769706485469e-16,2.606623567011943e-18,0.0,0.0,1.8919937985321585e-15,7.874873433236168e-16,3.844669990073906e-15,0.924514030682738,0.84589780448236,0.938880899492577,0.779677364826389,1228,1228,43,43
A843101001,CemaNeigeGR4J_NSE,1.6287800051512605e-15,1.6287800051512605e-15,2.1178816481972038e-16,0.0,0.0,0.0,6.49950420672651e-16,4.9601733819364244e-15,0.919756939909352,0.854082857178673,0.928302399758164,0.805778867167388,1001,1000,25,25
A983201001,GR4J_NSE,4.271889735111647e-16,4.271889735111647e-16,9.774838376294785e-19,5.44493338595336e-16,5.44493338595336e-16,5.528137429299431e-16,3.9158376519951565e-16,5.14093982449993e-16,0.815600813401515,0.850563626451281,0.803325198639899,0.863828842605175,225,225,20,20
A983201001,GR4J_KGE,4.807120633151404e-16,4.807120633151404e-16,1.3033117835059715e-18,1.1458087993726229e-15,5.796045317872372e-16,1.1458087993726229e-15,2.2753531429462716e-15,2.8973603224347945e-15,0.766193474161931,0.780695007676967,0.87204839298646,0.881323919867867,314,314,31,31
A983201001,GR5J_NSE,5.514399821145612e-16,5.514399821145612e-16,9.774838376294785e-19,1.3444095339135834e-16,1.3444095339135834e-16,1.3333256702377845e-15,1.032390831695639e-15,2.105848561910723e-15,0.825807164126017,0.860312192274457,0.832672054103001,0.896255873285717,1118,1118,85,85
A983201001,GR6J_NSE,4.282412969358129e-16,4.282412969358129e-16,1.3033117835059715e-18,1.359446919652717e-16,1.359446919652717e-16,1.33896386076722e-15,5.216269642395775e-16,2.9775549189750334e-15,0.816672581014618,0.851354014065303,0.829165787931725,0.894873589776672,1305,1305,49,49
A983201001,CemaNeigeGR4J_NSE,5.440187270709235e-16,5.440187270709235e-16,1.3033117835059715e-18,5.39552575835104e-16,5.39552575835104e-16,8.269352420441755e-16,1.2851364745910264e-16,1.1354124313314568e-15,0.823069390712692,0.863895038835052,0.805545320729611,0.880033276534514,1128,1129,37,37
B134001001,GR4J_NSE,1.9399783853501479e-16,1.9399783853501479e-16,1.3033117835059715e-18,1.0585367989412183e-15,1.0585367989412183e-15,9.374617565709216e-15,5.101493393645927e-16,1.4024279642515763e-15,0.839062393096309,0.870508252354477,0.864528928562272,0.791643530309695,232,232,21,21
B134001001,GR4J_KGE,3.8608526860053126e-16,3.8608526860053126e-16,4.887419188147393e-19,3.6802089338197474e-15,3.5348992265554977e-15,3.6802089338197474e-15,3.870043962892964e-16,3.5099161028208194e-15,0.816594669047516,0.860628226917015,0.905021734844417,0.854038124751425,456,456,46,46
B134001001,GR5J_NSE,1.0040396836522632e-15,1.0040396836522632e-15,1.0426494268047772e-17,1.057236983810103e-15,1.057236983810103e-15,8.444193035875036e-15,5.105063515790282e-16,4.107121024447681e-15,0.84009397448364,0.86989948014646,0.880900547084394,0.783918163659647,2000,2001,166,166
B134001001,GR6J_NSE,3.365066114447262e-16,3.365066114447262e-16,3.0546369925921205e-20,1.3190511896047631e-15,1.3190511896047631e-15,1.0791751822564916e-14,5.095028399396047e-16,2.6610845541231853e-15,0.841683047158936,0.871612825362669,0.884742177985618,0.792693243632329,1923,1923,98,98
